day,S population rate,I population rate,R population rate,estimated flu population rate
0,84.0,15.000001,1.0,15.012079
1,72.5,22.0,5.5,22.178831
2,62.5,25.25,12.25,25.26729
3,53.750004,26.249998,20.0,26.222551
4,46.5,25.75,27.75,25.764122
5,40.0,24.5,35.5,24.209644
6,34.5,22.5,43.0,22.345592
7,29.750002,20.5,49.75,20.724083
8,25.75,18.5,55.75,18.489872
9,22.0,16.5,61.5,16.791075
10,19.0,14.5,66.5,14.688751
11,16.5,12.75,70.75,12.639236
12,14.25,11.25,74.5,11.000735
13,12.25,9.75,78.0,10.092858
14,10.5,8.5,81.0,8.514258
15,9.0,7.25,83.75,6.9098344
16,7.75,6.5,85.75,6.4826083
17,6.7500005,5.5,87.75,5.5630393
18,5.75,4.75,89.5,4.9731035
19,5.0,4.0,91.0,4.710155
20,4.25,3.5,92.25,4.0648627
21,3.7500002,3.0,93.25,3.906956
22,3.25,2.5,94.25,3.5146387
23,2.75,2.25,95.0,3.4690442
24,2.25,2.0,95.75,3.4328866
25,2.0,1.75,96.25,3.2686837
26,1.75,1.5,96.75,3.321988
27,1.5,1.25,97.25,2.5202262
28,1.25,1.0,97.75,2.9471285
29,1.0,0.75,98.25,3.0937362
