day,S population rate,I population rate,R population rate,estimated flu population rate
0,87.5,11.5,1.0,11.309607
1,78.5,17.0,4.5,16.887398
2,70.5,19.75,9.75,19.743595
3,63.25,21.0,15.75,20.904627
4,56.75,21.25,22.0,21.33228
5,51.0,20.5,28.5,20.669506
6,45.75,19.5,34.75,19.73622
7,41.25,18.5,40.25,18.439766
8,37.0,17.0,46.0,17.027582
9,33.25,15.75,51.0,15.879913
10,29.750002,14.25,56.0,14.069367
11,26.750002,13.0,60.250004,13.268549
12,24.0,11.75,64.25,11.698528
13,21.5,10.75,67.75,10.671001
14,19.25,9.75,71.0,9.682318
15,17.25,8.75,74.0,8.842682
16,15.5,7.75,76.75,7.7516346
17,14.0,7.0,79.0,7.2090683
18,12.5,6.25,81.25,6.6712675
19,11.25,5.75,83.0,6.0003114
20,10.0,5.0,85.0,5.1993494
21,9.0,4.5,86.5,5.0049973
22,8.0,4.0,88.0,4.1391387
23,7.25,3.7500002,89.0,4.4907355
24,6.5,3.25,90.25,3.8173435
25,5.75,3.0,91.25,2.856586
26,5.25,2.75,92.0,4.1075006
27,4.75,2.25,93.0,3.8482792
28,4.25,2.0,93.75,3.1096375
29,3.7500002,1.75,94.5,3.408141
