day,S population rate,I population rate,R population rate,estimated flu population rate
0,86.0,13.0,1.0,13.05425
1,76.0,19.0,5.0,18.757378
2,67.0,22.25,10.75,22.249594
3,59.249996,23.25,17.5,23.569004
4,52.249996,23.25,24.5,23.268616
5,46.25,22.25,31.5,22.223425
6,40.75,21.0,38.25,21.270441
7,36.0,19.5,44.5,19.398417
8,31.75,17.75,50.5,17.906395
9,28.0,16.25,55.75,16.245275
10,24.75,14.5,60.75,14.32427
11,22.0,13.0,65.0,13.049558
12,19.25,11.75,69.0,11.654143
13,17.0,10.5,72.5,10.605842
14,15.000001,9.25,75.75,9.391707
15,13.249999,8.25,78.5,8.3269415
16,11.75,7.25,81.0,7.6769547
17,10.25,6.5,83.25,6.369329
18,9.25,5.75,85.0,5.9628754
19,8.0,5.0,87.0,5.2980266
20,7.0,4.5,88.5,4.867561
21,6.25,4.0,89.75,4.2390842
22,5.5,3.5,91.0,4.1635847
23,4.75,3.0,92.25,4.259852
24,4.25,2.75,93.0,3.7706885
25,3.7500002,2.25,94.0,3.1227367
26,3.25,2.0,94.75,3.353427
27,3.0,1.75,95.25,2.886698
28,2.5,1.5,96.0,2.8125603
29,2.25,1.5,96.25,2.3962111
