day,S population rate,I population rate,R population rate,estimated flu population rate
0,89.25,9.75,1.0,9.391811
1,81.5,14.5,4.0,14.368558
2,74.75,17.0,8.25,16.8346
3,68.5,18.25,13.249999,18.233524
4,62.5,18.5,19.0,18.480396
5,57.25,18.25,24.5,18.385468
6,52.499996,17.5,30.000002,17.457209
7,48.0,16.75,35.25,16.868364
8,44.0,15.75,40.25,15.867371
9,40.25,14.749999,45.0,14.767644
10,36.75,13.75,49.5,13.737772
11,33.75,12.75,53.500004,12.597314
12,30.75,11.75,57.5,11.713635
13,28.25,10.75,61.0,10.7637005
14,25.75,10.0,64.25,9.964538
15,23.75,9.0,67.25,9.056919
16,21.75,8.25,70.0,8.167982
17,19.75,7.75,72.5,7.9370947
18,18.25,7.0,74.75,7.3425503
19,16.5,6.5,77.0,6.6776743
20,15.25,5.75,79.0,5.9004025
21,14.0,5.25,80.75,5.2691865
22,12.75,5.0,82.25,4.773842
23,11.75,4.5,83.75,4.8925242
24,10.75,4.0,85.25,4.229435
25,9.75,3.7500002,86.5,4.4687448
26,9.0,3.5,87.5,3.9838557
27,8.25,3.0,88.75,3.6845803
28,7.5000005,2.75,89.75,4.453661
29,6.7500005,2.5,90.75,3.6930022
