day,S population rate,I population rate,R population rate,estimated flu population rate
0,89.0,10.0,1.0,10.027125
1,81.5,14.5,4.0,14.415053
2,74.5,17.0,8.5,16.786266
3,68.25,18.25,13.500001,18.118937
4,62.25,18.5,19.25,18.635153
5,57.0,18.25,24.75,18.398846
6,52.249996,17.75,30.000002,18.086067
7,47.75,16.75,35.5,16.766703
8,43.5,15.75,40.75,15.854723
9,39.75,14.749999,45.5,14.784638
10,36.5,13.75,49.75,13.688896
11,33.25,12.75,54.000004,12.758947
12,30.5,11.75,57.75,11.606146
13,28.0,10.75,61.25,10.734154
14,25.5,10.0,64.5,9.874017
15,23.25,9.0,67.75,8.729716
16,21.25,8.25,70.5,8.072999
17,19.5,7.5000005,73.0,7.5395474
18,17.75,7.0,75.25,6.873985
19,16.25,6.25,77.5,6.1399384
20,15.000001,5.75,79.25,6.0283356
21,13.500001,5.25,81.25,5.3369284
22,12.5,4.75,82.75,4.870584
23,11.25,4.5,84.25,4.66401
24,10.5,4.0,85.5,3.9728048
25,9.5,3.7500002,86.75,4.3698826
26,8.75,3.25,88.0,4.0768785
27,8.0,3.0,89.0,3.360209
28,7.25,2.75,90.0,3.8028812
29,6.5,2.5,91.0,3.5250223
