day,S population rate,I population rate,R population rate,estimated flu population rate
0,83.25,15.75,1.0,15.688551
1,71.25,23.0,5.75,22.791162
2,61.0,26.499998,12.5,26.742796
3,52.0,27.25,20.75,26.885687
4,44.5,26.499998,29.0,26.717426
5,38.0,25.0,37.0,24.71941
6,32.5,23.0,44.5,22.718994
7,27.75,20.75,51.5,20.526012
8,23.75,18.5,57.75,18.633116
9,20.25,16.5,63.25,16.574991
10,17.25,14.5,68.25,14.684773
11,14.749999,12.5,72.75,12.578898
12,12.75,11.0,76.25,11.023719
13,10.75,9.5,79.75,9.574065
14,9.25,8.25,82.5,8.37081
15,8.0,7.0,85.0,7.386043
16,6.7500005,6.0,87.25,6.2323937
17,5.75,5.25,89.0,5.563769
18,5.0,4.5,90.5,4.6852665
19,4.25,3.7500002,92.0,4.4265666
20,3.5,3.25,93.25,4.037379
21,3.0,2.75,94.25,3.9160936
22,2.5,2.25,95.25,3.571347
23,2.25,2.0,95.75,3.2093718
24,1.75,1.75,96.5,3.6609895
25,1.5,1.5,97.0,3.1715019
26,1.25,1.25,97.5,3.0647361
27,1.0,1.0,98.0,2.289269
28,1.0,0.75,98.25,3.1884975
29,0.75,0.75,98.5,2.6644135
