day,S population rate,I population rate,R population rate,estimated flu population rate
0,85.75,13.249999,1.0,13.457302
1,75.5,19.5,5.0,19.911936
2,66.25,22.75,11.0,22.59716
3,58.499996,23.75,17.75,23.704353
4,51.25,23.75,25.0,23.653831
5,45.25,22.75,32.0,22.78962
6,39.75,21.25,39.0,21.07
7,35.0,19.75,45.25,19.673407
8,30.75,18.0,51.25,17.811163
9,27.000002,16.25,56.75,15.964577
10,23.75,14.5,61.75,14.542494
11,21.0,13.0,66.0,13.065554
12,18.5,11.75,69.75,12.020313
13,16.25,10.25,73.5,10.4114685
14,14.25,9.25,76.5,9.361929
15,12.5,8.0,79.5,8.431183
16,11.0,7.25,81.75,7.1685715
17,9.75,6.25,84.0,6.4757576
18,8.5,5.5,86.0,5.655449
19,7.5000005,5.0,87.5,5.411832
20,6.5,4.25,89.25,4.6477275
21,5.75,3.7500002,90.5,4.103656
22,5.0,3.25,91.75,3.843749
23,4.5,3.0,92.5,4.00567
24,4.0,2.5,93.5,3.4579735
25,3.5,2.25,94.25,3.263151
26,3.0,2.0,95.0,3.6796927
27,2.5,1.75,95.75,3.2149754
28,2.25,1.5,96.25,3.57531
29,2.0,1.25,96.75,2.7692878
