day,S population rate,I population rate,R population rate,estimated flu population rate
0,85.0,14.0,1.0,14.075481
1,74.25,20.5,5.25,20.295462
2,64.75,23.75,11.5,23.528362
3,56.5,25.0,18.5,25.172438
4,49.25,24.5,26.249998,24.425308
5,43.0,23.5,33.5,23.166424
6,37.5,21.75,40.75,21.705378
7,32.75,20.0,47.25,19.82747
8,28.5,18.25,53.250004,18.209433
9,25.0,16.25,58.749996,16.462284
10,21.75,14.5,63.75,14.370692
11,19.0,13.0,68.0,12.787302
12,16.5,11.5,72.0,11.718199
13,14.5,10.0,75.5,9.9121895
14,12.5,9.0,78.5,9.346386
15,11.0,7.75,81.25,7.900952
16,9.5,6.7500005,83.75,6.863022
17,8.25,6.0,85.75,6.263315
18,7.25,5.25,87.5,5.5625787
19,6.25,4.5,89.25,5.112301
20,5.5,4.0,90.5,4.2631674
21,4.75,3.5,91.75,4.047873
22,4.25,3.0,92.75,4.004675
23,3.5,2.5,94.0,3.612214
24,3.25,2.25,94.5,2.9658191
25,2.75,2.0,95.25,2.753854
26,2.25,1.75,96.0,3.25351
27,2.0,1.5,96.5,3.4581032
28,1.75,1.25,97.0,2.779217
29,1.5,1.0,97.5,2.3284771
