day,S population rate,I population rate,R population rate,estimated flu population rate
0,83.0,16.0,1.0,15.555464
1,71.0,23.25,5.75,23.187254
2,60.5,26.750002,12.75,26.6144
3,51.5,27.5,21.0,27.609009
4,44.0,26.750002,29.249998,26.831125
5,37.5,25.25,37.25,25.564186
6,32.0,23.25,44.75,22.64162
7,27.25,21.0,51.75,20.943197
8,23.25,18.5,58.25,17.903326
9,20.0,16.5,63.5,16.478416
10,17.0,14.5,68.5,14.679369
11,14.5,12.5,73.0,12.496968
12,12.25,11.0,76.75,10.847156
13,10.5,9.5,80.0,9.990312
14,9.0,8.0,83.0,8.281317
15,7.5000005,7.0,85.5,6.9678135
16,6.5,6.0,87.5,6.152087
17,5.5,5.0,89.5,5.1755176
18,4.75,4.25,91.0,5.114636
19,4.0,3.7500002,92.25,4.4003935
20,3.5,3.25,93.25,4.0069284
21,2.75,2.75,94.5,3.737966
22,2.5,2.25,95.25,3.0509756
23,2.0,2.0,96.0,3.337149
24,1.75,1.75,96.5,3.0426383
25,1.5,1.5,97.0,3.0056975
26,1.25,1.25,97.5,2.4139621
27,1.0,1.0,98.0,2.4969394
28,0.75,0.75,98.5,3.0467982
29,0.75,0.75,98.5,2.2613852
