day,S population rate,I population rate,R population rate,estimated flu population rate
0,85.5,13.500001,1.0,13.593028
1,75.25,19.75,5.0,19.956959
2,66.0,23.0,11.0,23.03699
3,58.0,24.0,18.0,23.889868
4,51.0,23.75,25.25,23.82588
5,44.75,22.75,32.5,22.734152
6,39.5,21.5,39.0,21.516344
7,34.75,19.75,45.5,20.134878
8,30.5,18.0,51.5,17.793121
9,26.750002,16.25,57.0,15.994516
10,23.5,14.5,62.0,14.500829
11,20.75,13.0,66.25,13.124204
12,18.0,11.5,70.5,11.024442
13,16.0,10.25,73.75,10.345512
14,14.0,9.0,77.0,8.873618
15,12.25,8.0,79.75,8.108951
16,10.75,7.0,82.25,7.0243263
17,9.5,6.25,84.25,6.329473
18,8.25,5.5,86.25,5.7906685
19,7.25,4.75,88.0,5.2545896
20,6.5,4.25,89.25,4.552353
21,5.5,3.7500002,90.75,4.1260095
22,5.0,3.25,91.75,4.1352673
23,4.25,2.75,93.0,3.5487592
24,3.7500002,2.5,93.75,3.1654468
25,3.25,2.25,94.5,3.9400928
26,3.0,2.0,95.0,3.5714233
27,2.5,1.75,95.75,3.5626698
28,2.25,1.5,96.25,2.9734242
29,2.0,1.25,96.75,3.2252035
