day,S population rate,I population rate,R population rate,estimated flu population rate
0,87.0,12.0,1.0,11.845889
1,77.75,17.75,4.5,17.486555
2,69.5,20.5,10.0,20.564869
3,62.0,21.75,16.25,21.728325
4,55.5,21.75,22.75,21.786575
5,49.5,21.25,29.249998,21.075537
6,44.25,20.0,35.75,19.706762
7,39.5,18.75,41.75,18.693466
8,35.25,17.25,47.5,17.39426
9,31.5,15.75,52.749996,16.239567
10,28.0,14.5,57.5,14.374134
11,25.0,13.0,62.0,13.038904
12,22.5,11.75,65.75,11.881956
13,20.0,10.75,69.25,10.766529
14,18.0,9.5,72.5,9.4856205
15,16.0,8.5,75.5,8.094178
16,14.25,7.75,78.0,7.4827123
17,12.75,6.7500005,80.5,6.660961
18,11.25,6.25,82.5,6.526108
19,10.25,5.5,84.25,5.790729
20,9.0,5.0,86.0,5.286788
21,8.0,4.25,87.75,5.388451
22,7.25,4.0,88.75,4.4477706
23,6.5,3.5,90.0,4.0861206
24,5.75,3.0,91.25,3.8125324
25,5.0,2.75,92.25,3.4921577
26,4.5,2.5,93.0,3.260047
27,4.0,2.25,93.75,3.8417637
28,3.5,2.0,94.5,2.791046
29,3.25,1.75,95.0,3.3046303
