day,S population rate,I population rate,R population rate,estimated flu population rate
0,86.5,12.5,1.0,12.518151
1,77.0,18.25,4.75,18.380486
2,68.5,21.25,10.25,21.302055
3,60.75,22.5,16.75,22.775839
4,54.000004,22.5,23.5,22.534863
5,48.0,21.75,30.25,21.694271
6,42.75,20.5,36.75,20.673132
7,38.0,19.0,43.0,19.05749
8,33.75,17.5,48.75,17.328295
9,30.000002,16.0,54.000004,15.786109
10,26.750002,14.5,58.749996,14.537774
11,23.75,13.0,63.25,12.982469
12,21.0,11.75,67.25,11.363845
13,18.75,10.5,70.75,10.53949
14,16.75,9.5,73.75,9.274974
15,14.749999,8.5,76.75,8.440073
16,13.249999,7.5000005,79.25,7.841881
17,11.75,6.7500005,81.5,6.959171
18,10.25,6.0,83.75,5.940853
19,9.25,5.25,85.5,5.616648
20,8.25,4.75,87.0,5.1869535
21,7.25,4.25,88.5,4.608057
22,6.5,3.7500002,89.75,4.2866936
23,5.75,3.25,91.0,3.6551056
24,5.0,3.0,92.0,4.0328608
25,4.5,2.5,93.0,3.4069853
26,4.0,2.25,93.75,3.1857908
27,3.5,2.0,94.5,2.7875092
28,3.0,1.75,95.25,3.3725586
29,2.75,1.5,95.75,3.1405349
