day,S population rate,I population rate,R population rate,estimated flu population rate
0,87.5,11.5,1.0,11.83952
1,78.75,16.75,4.5,16.974434
2,70.75,19.75,9.5,19.58362
3,63.75,20.75,15.5,20.97998
4,57.25,21.0,21.75,20.939734
5,51.5,20.5,28.0,20.385061
6,46.25,19.5,34.25,19.49625
7,41.75,18.25,40.0,18.523197
8,37.5,17.0,45.5,16.958391
9,33.75,15.5,50.75,15.588436
10,30.25,14.25,55.5,14.02878
11,27.25,13.0,59.750004,13.155428
12,24.5,11.75,63.75,11.836374
13,22.0,10.75,67.25,10.567655
14,19.75,9.75,70.5,9.62147
15,17.75,8.75,73.5,8.79972
16,16.0,8.0,76.0,8.063405
17,14.25,7.0,78.75,7.148637
18,13.0,6.5,80.5,6.5376306
19,11.5,5.75,82.75,5.7444687
20,10.5,5.25,84.25,5.6676726
21,9.25,4.75,86.0,5.087608
22,8.5,4.25,87.25,4.7045126
23,7.5000005,3.7500002,88.75,4.3820276
24,6.7500005,3.25,90.0,4.9131327
25,6.0,3.0,91.0,4.1898746
26,5.5,2.75,91.75,3.4605162
27,5.0,2.5,92.5,3.816307
28,4.5,2.25,93.25,3.7825253
29,4.0,2.0,94.0,3.153969
