day,S population rate,I population rate,R population rate,estimated flu population rate
0,85.25,13.75,1.0,13.6114645
1,74.5,20.25,5.25,20.068848
2,65.25,23.5,11.25,23.823677
3,57.25,24.5,18.25,24.40096
4,50.0,24.25,25.75,24.267109
5,43.75,23.25,33.0,23.389091
6,38.25,21.75,40.0,21.697504
7,33.5,20.0,46.5,20.095951
8,29.249998,18.0,52.749996,18.2997
9,25.75,16.25,58.0,16.52442
10,22.5,14.5,63.0,14.684162
11,19.5,13.0,67.5,13.116406
12,17.25,11.5,71.25,11.576513
13,15.000001,10.25,74.75,10.285955
14,13.0,9.0,78.0,8.931618
15,11.5,8.0,80.5,8.049474
16,10.0,7.0,83.0,7.1698694
17,8.75,6.0,85.25,6.052173
18,7.75,5.25,87.0,5.3416944
19,6.7500005,4.75,88.5,5.150708
20,5.75,4.0,90.25,4.3319674
21,5.0,3.5,91.5,4.248672
22,4.5,3.0,92.5,4.2765384
23,3.7500002,2.75,93.5,3.619009
24,3.25,2.25,94.5,3.3506634
25,3.0,2.0,95.0,3.0501704
26,2.5,1.75,95.75,3.1230905
27,2.25,1.5,96.25,3.2377787
28,2.0,1.25,96.75,2.5846775
29,1.75,1.25,97.0,2.6273422
