day,S population rate,I population rate,R population rate,estimated flu population rate
2.7368815
674771
0,86.0,13.0,1.0,13.089322
1,76.25,19.0,4.75,17.023102
2,67.25,22.0,10.75,20.922901
3,59.500004,23.25,17.25,23.00636
4,52.749996,23.0,24.25,23.132448
5,46.5,22.25,31.25,22.527971
6,41.25,21.0,37.75,21.368303
7,36.5,19.5,44.0,20.050173
8,32.25,17.75,50.0,18.305056
9,28.5,16.25,55.25,16.830456
10,25.25,14.5,60.250004,15.12466
11,22.25,13.0,64.75,13.671671
12,19.75,11.75,68.5,12.235004
13,17.25,10.5,72.25,11.20678
14,15.25,9.25,75.5,9.927136
15,13.500001,8.25,78.25,8.950577
16,12.0,7.25,80.75,8.291174
17,10.5,6.5,83.0,7.6674676
18,9.25,5.75,85.0,7.0911703
19,8.25,5.0,86.75,6.6393642
20,7.25,4.5,88.25,6.147254
21,6.5,4.0,89.5,5.974102
22,5.75,3.5,90.75,5.5571117
23,5.0,3.0,92.0,5.396284
24,4.5,2.75,92.75,5.108338
25,4.0,2.5,93.5,5.131783
26,3.5,2.0,94.5,4.924695
27,3.0,1.75,95.25,4.7347064
28,2.75,1.5,95.75,4.71649
29,2.25,1.5,96.25,4.574638
