day,S population rate,I population rate,R population rate,estimated flu population rate
3.0688794
676650
0,85.0,14.0,1.0,13.846365
1,74.25,20.5,5.25,18.359468
2,64.75,23.75,11.5,22.843916
3,56.5,25.0,18.5,24.417587
4,49.25,24.5,26.249998,24.56929
5,43.0,23.5,33.5,23.851889
6,37.5,21.75,40.75,22.295311
7,32.75,20.0,47.25,20.802608
8,28.5,18.25,53.250004,18.581038
9,25.0,16.25,58.749996,16.763296
10,21.75,14.5,63.75,15.277429
11,19.0,13.0,68.0,13.59047
12,16.5,11.5,72.0,12.057132
13,14.5,10.0,75.5,10.809181
14,12.5,9.0,78.5,9.865965
15,11.0,7.75,81.25,8.669201
16,9.5,6.7500005,83.75,7.9022336
17,8.25,6.0,85.75,7.1339526
18,7.25,5.25,87.5,6.7163796
19,6.25,4.5,89.25,6.273161
20,5.5,4.0,90.5,5.92603
21,4.75,3.5,91.75,5.5138426
22,4.25,3.0,92.75,5.339949
23,3.5,2.5,94.0,5.1285357
24,3.25,2.25,94.5,4.8894315
25,2.75,2.0,95.25,4.745855
26,2.25,1.75,96.0,4.5217333
27,2.0,1.5,96.5,4.617017
28,1.75,1.25,97.0,4.496663
29,1.5,1.0,97.5,4.292632
