day,S population rate,I population rate,R population rate,estimated flu population rate
2.5057857
675406
0,86.5,12.5,1.0,12.46045
1,76.75,18.5,4.75,16.60582
2,68.0,21.5,10.5,20.315725
3,60.5,22.75,16.75,22.30652
4,53.500004,22.75,23.75,22.6981
5,47.5,22.0,30.5,22.113815
6,42.25,20.75,37.0,21.246428
7,37.5,19.25,43.25,19.729214
8,33.25,17.5,49.25,18.086132
9,29.499998,16.0,54.5,16.425926
10,26.249998,14.5,59.249996,15.05332
11,23.25,13.0,63.75,13.541243
12,20.5,11.75,67.75,12.250597
13,18.25,10.5,71.25,10.84689
14,16.25,9.5,74.25,10.186738
15,14.25,8.5,77.25,9.115115
16,12.75,7.5000005,79.75,8.451074
17,11.25,6.7500005,82.0,7.618676
18,10.0,6.0,84.0,7.1976676
19,8.75,5.25,86.0,6.712542
20,7.75,4.75,87.5,6.331539
21,7.0,4.0,89.0,6.0829873
22,6.25,3.7500002,90.0,5.7545767
23,5.5,3.25,91.25,5.5467257
24,4.75,2.75,92.5,5.113801
25,4.25,2.5,93.25,5.1404634
26,3.7500002,2.25,94.0,4.8174086
27,3.25,2.0,94.75,4.8134894
28,3.0,1.75,95.25,4.8028536
29,2.5,1.5,96.0,4.5651946
