day,S population rate,I population rate,R population rate,estimated flu population rate
1.3788239
675914
0,89.25,9.75,1.0,9.943671
1,82.0,14.0,4.0,12.684435
2,75.25,16.5,8.25,15.824202
3,69.0,17.75,13.249999,17.276205
4,63.25,18.25,18.5,18.23953
5,58.0,18.0,24.0,17.921331
6,53.250004,17.25,29.499998,17.474005
7,48.75,16.5,34.75,16.845833
8,44.75,15.5,39.75,15.771096
9,41.0,14.5,44.5,14.998381
10,37.75,13.500001,48.75,13.957455
11,34.5,12.5,52.999996,12.981788
12,31.75,11.75,56.5,12.093045
13,29.0,10.75,60.250004,11.31924
14,26.750002,10.0,63.25,10.381192
15,24.5,9.0,66.5,9.632685
16,22.5,8.25,69.25,9.037152
17,20.5,7.75,71.75,8.331931
18,18.75,7.0,74.25,8.043353
19,17.25,6.5,76.25,7.4923835
20,15.75,6.0,78.25,7.0216737
21,14.5,5.5,80.0,6.782972
22,13.249999,5.0,81.75,6.538514
23,12.25,4.5,83.25,6.222036
24,11.25,4.25,84.5,6.00045
25,10.25,3.7500002,86.0,5.5343323
26,9.5,3.5,87.0,5.4459763
27,8.5,3.25,88.25,5.3946056
28,8.0,3.0,89.0,5.26629
29,7.25,2.75,90.0,5.232858
