day,S population rate,I population rate,R population rate,estimated flu population rate
2.1926408
675954
0,87.0,12.0,1.0,11.935391
1,77.75,17.75,4.5,15.970203
2,69.5,20.5,10.0,19.427704
3,62.0,21.75,16.25,21.27136
4,55.5,21.75,22.75,21.807995
5,49.5,21.25,29.249998,21.41945
6,44.25,20.0,35.75,20.466368
7,39.5,18.75,41.75,19.101704
8,35.25,17.25,47.5,17.619648
9,31.5,15.75,52.749996,16.10336
10,28.0,14.5,57.5,14.810894
11,25.0,13.0,62.0,13.537601
12,22.5,11.75,65.75,12.345703
13,20.0,10.75,69.25,11.269518
14,18.0,9.5,72.5,10.246332
15,16.0,8.5,75.5,9.208062
16,14.25,7.75,78.0,8.619024
17,12.75,6.7500005,80.5,7.699607
18,11.25,6.25,82.5,7.3343163
19,10.25,5.5,84.25,6.7594767
20,9.0,5.0,86.0,6.5296044
21,8.0,4.25,87.75,6.1391306
22,7.25,4.0,88.75,5.8745
23,6.5,3.5,90.0,5.579353
24,5.75,3.0,91.25,5.262772
25,5.0,2.75,92.25,5.1440525
26,4.5,2.5,93.0,5.019201
27,4.0,2.25,93.75,4.9388094
28,3.5,2.0,94.5,4.7058153
29,3.25,1.75,95.0,4.6844187
