day,S population rate,I population rate,R population rate,estimated flu population rate
2.7942307
676803
0,85.75,13.249999,1.0,13.256657
1,75.5,19.5,5.0,17.468647
2,66.25,22.75,11.0,21.866362
3,58.499996,23.75,17.75,23.428919
4,51.25,23.75,25.0,23.849033
5,45.25,22.75,32.0,23.007883
6,39.75,21.25,39.0,21.529022
7,35.0,19.75,45.25,20.46319
8,30.75,18.0,51.25,18.650242
9,27.000002,16.25,56.75,17.017382
10,23.75,14.5,61.75,15.156028
11,21.0,13.0,66.0,13.613994
12,18.5,11.75,69.75,12.282469
13,16.25,10.25,73.5,10.824848
14,14.25,9.25,76.5,9.803309
15,12.5,8.0,79.5,8.936563
16,11.0,7.25,81.75,8.25453
17,9.75,6.25,84.0,7.5482607
18,8.5,5.5,86.0,6.8691254
19,7.5000005,5.0,87.5,6.348814
20,6.5,4.25,89.25,5.913057
21,5.75,3.7500002,90.5,5.7063103
22,5.0,3.25,91.75,5.478009
23,4.5,3.0,92.5,5.2636104
24,4.0,2.5,93.5,5.0958576
25,3.5,2.25,94.25,4.947054
26,3.0,2.0,95.0,4.937404
27,2.5,1.75,95.75,4.6536374
28,2.25,1.5,96.25,4.6538944
29,2.0,1.25,96.75,4.4825125
