day,S population rate,I population rate,R population rate,estimated flu population rate
1.9532291
675994
0,87.5,11.5,1.0,11.647651
1,78.75,16.75,4.5,15.061824
2,70.75,19.75,9.5,18.845951
3,63.75,20.75,15.5,20.37668
4,57.25,21.0,21.75,20.958202
5,51.5,20.5,28.0,20.821205
6,46.25,19.5,34.25,19.947752
7,41.75,18.25,40.0,18.78381
8,37.5,17.0,45.5,17.4174
9,33.75,15.5,50.75,15.967684
10,30.25,14.25,55.5,14.866
11,27.25,13.0,59.750004,13.468809
12,24.5,11.75,63.75,12.269245
13,22.0,10.75,67.25,11.294318
14,19.75,9.75,70.5,10.289746
15,17.75,8.75,73.5,9.244683
16,16.0,8.0,76.0,8.870466
17,14.25,7.0,78.75,7.993345
18,13.0,6.5,80.5,7.556848
19,11.5,5.75,82.75,7.0590863
20,10.5,5.25,84.25,6.540136
21,9.25,4.75,86.0,6.286403
22,8.5,4.25,87.25,5.982253
23,7.5000005,3.7500002,88.75,5.664213
24,6.7500005,3.25,90.0,5.4124436
25,6.0,3.0,91.0,5.273093
26,5.5,2.75,91.75,5.2181816
27,5.0,2.5,92.5,4.996984
28,4.5,2.25,93.25,4.8155107
29,4.0,2.0,94.0,4.840281
