day,S population rate,I population rate,R population rate,estimated flu population rate
3.5409315
675786
0,84.0,15.000001,1.0,15.1566305
1,72.5,22.0,5.5,19.80436
2,62.5,25.25,12.25,24.282425
3,53.750004,26.249998,20.0,26.05679
4,46.5,25.75,27.75,25.995184
5,40.0,24.5,35.5,24.914196
6,34.5,22.5,43.0,23.181604
7,29.750002,20.5,49.75,21.25628
8,25.75,18.5,55.75,19.216534
9,22.0,16.5,61.5,17.24492
10,19.0,14.5,66.5,15.237853
11,16.5,12.75,70.75,13.190819
12,14.25,11.25,74.5,12.06654
13,12.25,9.75,78.0,10.374131
14,10.5,8.5,81.0,9.181855
15,9.0,7.25,83.75,8.363537
16,7.75,6.5,85.75,7.5911527
17,6.7500005,5.5,87.75,6.923231
18,5.75,4.75,89.5,6.479766
19,5.0,4.0,91.0,5.898646
20,4.25,3.5,92.25,5.638734
21,3.7500002,3.0,93.25,5.379441
22,3.25,2.5,94.25,5.060382
23,2.75,2.25,95.0,4.893305
24,2.25,2.0,95.75,4.857692
25,2.0,1.75,96.25,4.7297835
26,1.75,1.5,96.75,4.5558147
27,1.5,1.25,97.25,4.4663935
28,1.25,1.0,97.75,4.4123893
29,1.0,0.75,98.25,4.3007455
