day,S population rate,I population rate,R population rate,estimated flu population rate
3.8577096
676769
0,83.25,15.75,1.0,15.735323
1,71.25,23.0,5.75,20.532969
2,61.0,26.499998,12.5,25.335981
3,52.0,27.25,20.75,26.972136
4,44.5,26.499998,29.0,26.756996
5,38.0,25.0,37.0,25.490494
6,32.5,23.0,44.5,23.610237
7,27.75,20.75,51.5,21.256935
8,23.75,18.5,57.75,19.126719
9,20.25,16.5,63.25,17.250452
10,17.25,14.5,68.25,15.099777
11,14.749999,12.5,72.75,13.104707
12,12.75,11.0,76.25,11.815409
13,10.75,9.5,79.75,10.337045
14,9.25,8.25,82.5,9.135069
15,8.0,7.0,85.0,8.215426
16,6.7500005,6.0,87.25,7.129394
17,5.75,5.25,89.0,6.6405687
18,5.0,4.5,90.5,6.2197566
19,4.25,3.7500002,92.0,5.6509805
20,3.5,3.25,93.25,5.500424
21,3.0,2.75,94.25,5.213699
22,2.5,2.25,95.25,5.004341
23,2.25,2.0,95.75,4.766523
24,1.75,1.75,96.5,4.7573853
25,1.5,1.5,97.0,4.5868464
26,1.25,1.25,97.5,4.473664
27,1.0,1.0,98.0,4.3996325
28,1.0,0.75,98.25,4.270844
29,0.75,0.75,98.5,4.3410425
