day,S population rate,I population rate,R population rate,estimated flu population rate
1.5797094
675849
0,89.0,10.0,1.0,10.1919155
1,81.5,14.5,4.0,13.289157
2,74.5,17.0,8.5,16.047287
3,68.25,18.25,13.500001,17.77215
4,62.25,18.5,19.25,18.458214
5,57.0,18.25,24.75,18.402493
6,52.249996,17.75,30.000002,18.062593
7,47.75,16.75,35.5,17.065472
8,43.5,15.75,40.75,16.291962
9,39.75,14.749999,45.5,15.080152
10,36.5,13.75,49.75,13.979115
11,33.25,12.75,54.000004,13.094158
12,30.5,11.75,57.75,12.370621
13,28.0,10.75,61.25,11.344064
14,25.5,10.0,64.5,10.328356
15,23.25,9.0,67.75,9.717196
16,21.25,8.25,70.5,9.006611
17,19.5,7.5000005,73.0,8.4751215
18,17.75,7.0,75.25,7.8175616
19,16.25,6.25,77.5,7.548984
20,15.000001,5.75,79.25,7.009923
21,13.500001,5.25,81.25,6.495862
22,12.5,4.75,82.75,6.446638
23,11.25,4.5,84.25,6.2305756
24,10.5,4.0,85.5,5.9504933
25,9.5,3.7500002,86.75,5.658321
26,8.75,3.25,88.0,5.4824553
27,8.0,3.0,89.0,5.303528
28,7.25,2.75,90.0,5.2009745
29,6.5,2.5,91.0,4.9414163
