day,S population rate,I population rate,R population rate,estimated flu population rate
2.5315714
676652
0,86.5,12.5,1.0,12.745661
1,76.75,18.5,4.75,16.447502
2,68.25,21.5,10.25,20.564018
3,60.5,22.5,17.0,22.129936
4,53.750004,22.5,23.75,22.407036
5,47.75,21.75,30.5,21.929295
6,42.5,20.5,37.0,21.01995
7,37.75,19.0,43.25,19.29727
8,33.5,17.5,49.0,18.039474
9,29.750002,16.0,54.25,16.46083
10,26.499998,14.5,58.999996,15.151727
11,23.5,13.0,63.5,13.565744
12,20.75,11.75,67.5,12.3422985
13,18.5,10.5,71.0,11.1203575
14,16.5,9.5,74.0,10.042043
15,14.5,8.5,77.0,9.343686
16,13.0,7.5000005,79.5,8.682622
17,11.5,6.7500005,81.75,7.73445
18,10.25,6.0,83.75,7.323356
19,9.0,5.25,85.75,6.589003
20,8.0,4.75,87.25,6.318972
21,7.0,4.25,88.75,6.088511
22,6.25,3.7500002,90.0,5.700755
23,5.5,3.25,91.25,5.429846
24,5.0,2.75,92.25,5.148339
25,4.5,2.5,93.0,5.024594
26,3.7500002,2.25,94.0,4.9606404
27,3.5,2.0,94.5,4.8234205
28,3.0,1.75,95.25,4.821216
29,2.75,1.5,95.75,4.675514
