day,S population rate,I population rate,R population rate,estimated flu population rate
2.6858153
675271
0,86.0,13.0,1.0,13.070332
1,76.0,19.0,5.0,16.999418
2,67.0,22.25,10.75,21.24804
3,59.249996,23.25,17.5,22.721687
4,52.249996,23.25,24.5,23.11691
5,46.25,22.25,31.5,22.479847
6,40.75,21.0,38.25,21.525648
7,36.0,19.5,44.5,19.977345
8,31.75,17.75,50.5,18.410873
9,28.0,16.25,55.75,16.705782
10,24.75,14.5,60.75,15.252879
11,21.75,13.0,65.25,13.557674
12,19.25,11.75,69.0,12.42593
13,17.0,10.5,72.5,11.108764
14,15.000001,9.25,75.75,10.061051
15,13.249999,8.25,78.5,9.0388155
16,11.75,7.25,81.0,8.493344
17,10.25,6.5,83.25,7.5987678
18,9.0,5.75,85.25,6.986654
19,8.0,5.0,87.0,6.6113887
20,7.0,4.5,88.5,6.101035
21,6.25,4.0,89.75,5.771469
22,5.5,3.5,91.0,5.6686544
23,4.75,3.0,92.25,5.391047
24,4.25,2.75,93.0,4.9833035
25,3.7500002,2.25,94.0,4.8670506
26,3.25,2.0,94.75,4.790473
27,3.0,1.75,95.25,4.7154245
28,2.5,1.5,96.0,4.629508
29,2.25,1.5,96.25,4.6413455
