day,S population rate,I population rate,R population rate,estimated flu population rate
3.9505727
677401
0,83.0,16.0,1.0,16.047127
1,71.0,23.25,5.75,20.851175
2,60.5,26.750002,12.75,25.624228
3,51.5,27.5,21.0,27.149271
4,44.0,26.750002,29.249998,26.963385
5,37.5,25.25,37.25,25.857744
6,32.0,23.25,44.75,23.782423
7,27.25,21.0,51.75,21.799164
8,23.25,18.5,58.25,19.539242
9,20.0,16.5,63.5,17.1968
10,17.0,14.5,68.5,15.272673
11,14.5,12.5,73.0,13.172728
12,12.25,11.0,76.75,11.880196
13,10.5,9.5,80.0,10.336843
14,9.0,8.0,83.0,9.050384
15,7.5000005,7.0,85.5,7.9865828
16,6.5,6.0,87.5,7.2985435
17,5.5,5.0,89.5,6.610762
18,4.75,4.25,91.0,6.01442
19,4.0,3.7500002,92.25,5.790255
20,3.5,3.25,93.25,5.593294
21,2.75,2.75,94.5,5.216515
22,2.5,2.25,95.25,4.973107
23,2.0,2.0,96.0,4.7645884
24,1.75,1.75,96.5,4.658908
25,1.5,1.5,97.0,4.6257434
26,1.25,1.25,97.5,4.57882
27,1.0,1.0,98.0,4.4506264
28,0.75,0.75,98.5,4.1984935
29,0.75,0.75,98.5,4.2946854
