day,S population rate,I population rate,R population rate,estimated flu population rate
2.8619156
677418
0,85.5,13.500001,1.0,13.502114
1,75.25,19.75,5.0,17.618277
2,66.0,23.0,11.0,21.822947
3,58.0,24.0,18.0,23.816307
4,51.0,23.75,25.25,23.859911
5,44.75,22.75,32.5,22.949137
6,39.5,21.5,39.0,21.995361
7,34.75,19.75,45.5,20.1883
8,30.5,18.0,51.5,18.750319
9,26.750002,16.25,57.0,16.930565
10,23.5,14.5,62.0,14.927237
11,20.75,13.0,66.25,13.621542
12,18.0,11.5,70.5,12.122066
13,16.0,10.25,73.75,10.97201
14,14.0,9.0,77.0,9.7632675
15,12.25,8.0,79.75,8.994872
16,10.75,7.0,82.25,7.9756756
17,9.5,6.25,84.25,7.3712063
18,8.25,5.5,86.25,6.7963133
19,7.25,4.75,88.0,6.241474
20,6.5,4.25,89.25,5.930024
21,5.5,3.7500002,90.75,5.557335
22,5.0,3.25,91.75,5.630986
23,4.25,2.75,93.0,5.237839
24,3.7500002,2.5,93.75,5.0264845
25,3.25,2.25,94.5,4.804394
26,3.0,2.0,95.0,4.945429
27,2.5,1.75,95.75,4.784771
28,2.25,1.5,96.25,4.713516
29,2.0,1.25,96.75,4.435546
