day,S population rate,I population rate,R population rate,estimated flu population rate
2.6100237
676985
0,86.0,13.0,1.0,12.9990425
1,76.0,19.0,5.0,17.062723
2,67.0,22.25,10.75,21.022503
3,59.249996,23.25,17.5,22.866024
4,52.249996,23.25,24.5,23.133541
5,46.25,22.25,31.5,22.561514
6,40.75,21.0,38.25,21.276947
7,36.0,19.5,44.5,20.058607
8,31.75,17.75,50.5,18.3733
9,28.0,16.25,55.75,16.719793
10,24.75,14.5,60.75,15.09866
11,22.0,13.0,65.0,13.510851
12,19.25,11.75,69.0,12.241139
13,17.0,10.5,72.5,11.147341
14,15.000001,9.25,75.75,9.878194
15,13.249999,8.25,78.5,9.061782
16,11.75,7.25,81.0,8.344277
17,10.25,6.5,83.25,7.6692743
18,9.25,5.75,85.0,7.109014
19,8.0,5.0,87.0,6.555445
20,7.0,4.5,88.5,6.0933423
21,6.25,4.0,89.75,5.9230647
22,5.5,3.5,91.0,5.486962
23,4.75,3.0,92.25,5.326634
24,4.25,2.75,93.0,5.043648
25,3.7500002,2.25,94.0,4.880085
26,3.25,2.0,94.75,4.730346
27,3.0,1.75,95.25,4.795775
28,2.5,1.5,96.0,4.4913006
29,2.25,1.5,96.25,4.527369
