day,S population rate,I population rate,R population rate,estimated flu population rate
2.0905035
676570
0,87.5,11.5,1.0,11.475501
1,78.5,17.0,4.5,15.274692
2,70.5,19.75,9.75,18.985676
3,63.25,21.0,15.75,20.487099
4,56.75,21.25,22.0,21.290192
5,51.0,20.5,28.5,20.742113
6,45.75,19.5,34.75,19.92331
7,41.25,18.5,40.25,18.721907
8,37.0,17.0,46.0,17.278385
9,33.25,15.75,51.0,16.15013
10,29.750002,14.25,56.0,14.788992
11,26.750002,13.0,60.250004,13.371537
12,24.0,11.75,64.25,12.231091
13,21.5,10.75,67.75,11.166554
14,19.25,9.75,71.0,10.373731
15,17.25,8.75,74.0,9.476104
16,15.5,7.75,76.75,8.673972
17,14.0,7.0,79.0,7.853669
18,12.5,6.25,81.25,7.443075
19,11.25,5.75,83.0,7.0946693
20,10.0,5.0,85.0,6.4453287
21,9.0,4.5,86.5,6.1600213
22,8.0,4.0,88.0,5.930177
23,7.25,3.7500002,89.0,5.4909043
24,6.5,3.25,90.25,5.484345
25,5.75,3.0,91.25,5.3626685
26,5.25,2.75,92.0,5.1345797
27,4.75,2.25,93.0,5.0079446
28,4.25,2.0,93.75,4.7533216
29,3.7500002,1.75,94.5,4.7083316
