day,S population rate,I population rate,R population rate,estimated flu population rate
1.4721029
676475
0,89.25,9.75,1.0,9.958856
1,81.5,14.5,4.0,12.925233
2,74.75,17.0,8.25,16.332361
3,68.5,18.25,13.249999,17.864475
4,62.5,18.5,19.0,18.384743
5,57.25,18.25,24.5,18.22394
6,52.499996,17.5,30.000002,17.639708
7,48.0,16.75,35.25,16.984993
8,44.0,15.75,40.25,16.176523
9,40.25,14.749999,45.0,15.168326
10,36.75,13.75,49.5,14.035026
11,33.75,12.75,53.500004,13.111777
12,30.75,11.75,57.5,12.178957
13,28.25,10.75,61.0,11.265306
14,25.75,10.0,64.25,10.474766
15,23.75,9.0,67.25,9.483824
16,21.75,8.25,70.0,8.963788
17,19.75,7.75,72.5,8.527119
18,18.25,7.0,74.75,7.9586134
19,16.5,6.5,77.0,7.556183
20,15.25,5.75,79.0,7.0286727
21,14.0,5.25,80.75,6.6180882
22,12.75,5.0,82.25,6.3748984
23,11.75,4.5,83.75,6.1875105
24,10.75,4.0,85.25,5.850393
25,9.75,3.7500002,86.5,5.675405
26,9.0,3.5,87.5,5.555754
27,8.25,3.0,88.75,5.1269574
28,7.5000005,2.75,89.75,5.1029043
29,6.7500005,2.5,90.75,5.0823402
