day,S population rate,I population rate,R population rate,estimated flu population rate
2.443524
676518
0,86.5,12.5,1.0,12.495439
1,77.0,18.25,4.75,16.371616
2,68.5,21.25,10.25,20.28412
3,60.75,22.5,16.75,21.984694
4,54.000004,22.5,23.5,22.37806
5,48.0,21.75,30.25,21.923578
6,42.75,20.5,36.75,20.7819
7,38.0,19.0,43.0,19.403078
8,33.75,17.5,48.75,18.002882
9,30.000002,16.0,54.000004,16.494247
10,26.750002,14.5,58.749996,15.120243
11,23.75,13.0,63.25,13.609198
12,21.0,11.75,67.25,12.130674
13,18.75,10.5,70.75,11.145427
14,16.75,9.5,73.75,10.05596
15,14.749999,8.5,76.75,9.227417
16,13.249999,7.5000005,79.25,8.457252
17,11.75,6.7500005,81.5,7.8438644
18,10.25,6.0,83.75,7.2950025
19,9.25,5.25,85.5,6.6676955
20,8.25,4.75,87.0,6.2624025
21,7.25,4.25,88.5,6.1149178
22,6.5,3.7500002,89.75,5.7392316
23,5.75,3.25,91.0,5.420075
24,5.0,3.0,92.0,5.345847
25,4.5,2.5,93.0,5.000053
26,4.0,2.25,93.75,4.9649587
27,3.5,2.0,94.5,4.785954
28,3.0,1.75,95.25,4.7163715
29,2.75,1.5,95.75,4.6181397
