day,S population rate,I population rate,R population rate,estimated flu population rate
1.0587176
40299
0,87.0,12.0,1.0,11.794709
1,77.75,17.75,4.5,15.750432
2,69.5,20.5,10.0,19.810684
3,62.0,21.75,16.25,21.035206
4,55.5,21.75,22.75,21.476473
5,49.5,21.25,29.249998,21.494997
6,44.25,20.0,35.75,20.19533
7,39.5,18.75,41.75,19.564941
8,35.25,17.25,47.5,17.656652
9,31.5,15.75,52.749996,15.7249975
10,28.0,14.5,57.5,14.475531
11,25.0,13.0,62.0,13.369773
12,22.5,11.75,65.75,12.44648
13,20.0,10.75,69.25,11.255147
14,18.0,9.5,72.5,10.595154
15,16.0,8.5,75.5,9.413855
16,14.25,7.75,78.0,8.694842
17,12.75,6.7500005,80.5,8.050915
18,11.25,6.25,82.5,5.824085
19,10.25,5.5,84.25,7.5586076
20,9.0,5.0,86.0,5.415381
21,8.0,4.25,87.75,3.957381
22,7.25,4.0,88.75,5.2610064
23,6.5,3.5,90.0,4.5373473
24,5.75,3.0,91.25,4.101495
25,5.0,2.75,92.25,2.7226946
26,4.5,2.5,93.0,3.7963328
27,4.0,2.25,93.75,4.4073644
28,3.5,2.0,94.5,2.8092651
29,3.25,1.75,95.0,3.9150438
