day,S population rate,I population rate,R population rate,estimated flu population rate
1.9956857
39668
0,85.75,13.249999,1.0,13.203115
1,75.5,19.5,5.0,17.033884
2,66.25,22.75,11.0,21.598969
3,58.499996,23.75,17.75,22.616003
4,51.25,23.75,25.0,23.839935
5,45.25,22.75,32.0,23.407486
6,39.75,21.25,39.0,22.057379
7,35.0,19.75,45.25,20.044724
8,30.75,18.0,51.25,18.691124
9,27.000002,16.25,56.75,16.76932
10,23.75,14.5,61.75,15.166639
11,21.0,13.0,66.0,13.722427
12,18.5,11.75,69.75,12.092528
13,16.25,10.25,73.5,10.465656
14,14.25,9.25,76.5,10.003856
15,12.5,8.0,79.5,8.612113
16,11.0,7.25,81.75,8.557309
17,9.75,6.25,84.0,6.866603
18,8.5,5.5,86.0,6.8208036
19,7.5000005,5.0,87.5,6.4294734
20,6.5,4.25,89.25,4.200001
21,5.75,3.7500002,90.5,5.707004
22,5.0,3.25,91.75,5.4926395
23,4.5,3.0,92.5,5.8372555
24,4.0,2.5,93.5,3.454668
25,3.5,2.25,94.25,3.3238974
26,3.0,2.0,95.0,4.273816
27,2.5,1.75,95.75,3.5080795
28,2.25,1.5,96.25,4.0967703
29,2.0,1.25,96.75,3.955239
