day,S population rate,I population rate,R population rate,estimated flu population rate
2.1176708
40667
0,87.5,11.5,1.0,11.636287
1,78.5,17.0,4.5,15.199645
2,70.5,19.75,9.75,18.820312
3,63.25,21.0,15.75,20.384716
4,56.75,21.25,22.0,20.687027
5,51.0,20.5,28.5,20.113297
6,45.75,19.5,34.75,19.137945
7,41.25,18.5,40.25,19.291788
8,37.0,17.0,46.0,17.141401
9,33.25,15.75,51.0,15.854825
10,29.750002,14.25,56.0,14.658085
11,26.750002,13.0,60.250004,13.3110485
12,24.0,11.75,64.25,12.705332
13,21.5,10.75,67.75,10.967565
14,19.25,9.75,71.0,10.754559
15,17.25,8.75,74.0,10.387594
16,15.5,7.75,76.75,8.00908
17,14.0,7.0,79.0,7.580086
18,12.5,6.25,81.25,8.002087
19,11.25,5.75,83.0,6.0451555
20,10.0,5.0,85.0,7.0563354
21,9.0,4.5,86.5,6.6404624
22,8.0,4.0,88.0,6.5515513
23,7.25,3.7500002,89.0,6.0699477
24,6.5,3.25,90.25,3.7535148
25,5.75,3.0,91.25,4.608774
26,5.25,2.75,92.0,3.386185
27,4.75,2.25,93.0,2.800264
28,4.25,2.0,93.75,4.7185154
29,3.7500002,1.75,94.5,5.9517884
