day,S population rate,I population rate,R population rate,estimated flu population rate
3.5857418
40211
0,83.0,16.0,1.0,15.494029
1,71.0,23.25,5.75,19.2987
2,60.5,26.750002,12.75,25.958885
3,51.5,27.5,21.0,27.38836
4,44.0,26.750002,29.249998,26.80889
5,37.5,25.25,37.25,25.491323
6,32.0,23.25,44.75,23.486427
7,27.25,21.0,51.75,21.230715
8,23.25,18.5,58.25,18.70901
9,20.0,16.5,63.5,17.167727
10,17.0,14.5,68.5,15.735612
11,14.5,12.5,73.0,13.107103
12,12.25,11.0,76.75,11.850805
13,10.5,9.5,80.0,10.341604
14,9.0,8.0,83.0,9.086882
15,7.5000005,7.0,85.5,9.032196
16,6.5,6.0,87.5,6.764638
17,5.5,5.0,89.5,6.7962966
18,4.75,4.25,91.0,4.360091
19,4.0,3.7500002,92.25,4.0070176
20,3.5,3.25,93.25,5.5585265
21,2.75,2.75,94.5,4.011821
22,2.5,2.25,95.25,3.6982925
23,2.0,2.0,96.0,5.3086853
24,1.75,1.75,96.5,4.478568
25,1.5,1.5,97.0,5.894214
26,1.25,1.25,97.5,3.9592118
27,1.0,1.0,98.0,2.9204001
28,0.75,0.75,98.5,3.5545657
29,0.75,0.75,98.5,4.251807
