day,S population rate,I population rate,R population rate,estimated flu population rate
2.0029762
40735
0,85.0,14.0,1.0,13.852534
1,74.25,20.5,5.25,18.052004
2,65.0,23.75,11.25,22.785366
3,56.75,24.75,18.5,24.188269
4,49.5,24.5,26.0,24.88948
5,43.25,23.25,33.5,23.664762
6,37.75,21.75,40.5,21.831799
7,33.0,20.0,47.0,20.079773
8,29.0,18.25,52.749996,18.753807
9,25.25,16.25,58.499996,17.106201
10,22.0,14.5,63.5,15.249722
11,19.25,13.0,67.75,13.28276
12,16.75,11.5,71.75,12.102103
13,14.749999,10.25,75.0,10.832601
14,12.75,9.0,78.25,9.282542
15,11.25,7.75,81.0,8.595495
16,9.75,7.0,83.25,7.7180014
17,8.5,6.0,85.5,6.872468
18,7.5000005,5.25,87.25,4.970991
19,6.5,4.5,89.0,5.16457
20,5.75,4.0,90.25,4.8863664
21,5.0,3.5,91.5,5.318501
22,4.25,3.0,92.75,6.5255313
23,3.7500002,2.75,93.5,4.912433
24,3.25,2.25,94.5,3.1666253
25,2.75,2.0,95.25,2.895618
26,2.5,1.75,95.75,3.675423
27,2.0,1.5,96.5,3.4874034
28,1.75,1.25,97.0,4.305772
29,1.5,1.0,97.5,3.7811923
