day,S population rate,I population rate,R population rate,estimated flu population rate
1.4679182
41368
0,86.0,13.0,1.0,13.171414
1,76.0,19.0,5.0,16.863852
2,67.0,22.25,10.75,21.45625
3,59.249996,23.25,17.5,22.69395
4,52.249996,23.25,24.5,22.90248
5,46.25,22.25,31.5,22.5448
6,40.75,21.0,38.25,21.426735
7,36.0,19.5,44.5,19.860233
8,31.75,17.75,50.5,19.023754
9,28.0,16.25,55.75,16.482779
10,24.75,14.5,60.75,14.742383
11,21.75,13.0,65.25,13.486671
12,19.25,11.75,69.0,11.876022
13,17.0,10.5,72.5,10.841283
14,15.000001,9.25,75.75,9.6170025
15,13.249999,8.25,78.5,9.15867
16,11.75,7.25,81.0,8.334153
17,10.25,6.5,83.25,7.3617144
18,9.0,5.75,85.25,5.8020935
19,8.0,5.0,87.0,5.7969155
20,7.0,4.5,88.5,5.464323
21,6.25,4.0,89.75,4.122155
22,5.5,3.5,91.0,6.8058248
23,4.75,3.0,92.25,4.3932805
24,4.25,2.75,93.0,3.8554797
25,3.7500002,2.25,94.0,4.231174
26,3.25,2.0,94.75,3.7679136
27,3.0,1.75,95.25,3.3880205
28,2.5,1.5,96.0,2.899135
29,2.25,1.5,96.25,3.874377
