day,S population rate,I population rate,R population rate,estimated flu population rate
0.5396044
42065
0,89.25,9.75,1.0,9.639213
1,82.0,14.0,4.0,12.107574
2,75.25,16.5,8.25,16.102823
3,69.0,17.75,13.249999,17.35228
4,63.25,18.25,18.5,18.18131
5,58.0,18.0,24.0,17.673588
6,53.250004,17.25,29.499998,17.814728
7,48.75,16.5,34.75,16.361874
8,44.75,15.5,39.75,15.732915
9,41.0,14.5,44.5,14.782969
10,37.75,13.500001,48.75,14.120283
11,34.5,12.5,52.999996,12.683775
12,31.75,11.75,56.5,12.060468
13,29.0,10.75,60.250004,11.094006
14,26.750002,10.0,63.25,10.090229
15,24.5,9.0,66.5,9.388661
16,22.5,8.25,69.25,7.648477
17,20.5,7.75,71.75,8.2311945
18,18.75,7.0,74.25,8.040074
19,17.25,6.5,76.25,5.20361
20,15.75,6.0,78.25,6.5053363
21,14.5,5.5,80.0,6.3737116
22,13.249999,5.0,81.75,5.098529
23,12.25,4.5,83.25,4.7593093
24,11.25,4.25,84.5,4.103148
25,10.25,3.7500002,86.0,3.3411133
26,9.5,3.5,87.0,4.9178486
27,8.5,3.25,88.25,3.9257145
28,8.0,3.0,89.0,2.7196164
29,7.25,2.75,90.0,4.677932
