day,S population rate,I population rate,R population rate,estimated flu population rate
1.0533987
42116
0,87.5,11.5,1.0,11.643692
1,78.75,16.75,4.5,14.443674
2,70.75,19.75,9.5,18.73585
3,63.75,20.75,15.5,21.041035
4,57.25,21.0,21.75,21.083689
5,51.5,20.5,28.0,20.752434
6,46.25,19.5,34.25,19.22129
7,41.75,18.25,40.0,18.418892
8,37.5,17.0,45.5,17.322544
9,33.75,15.5,50.75,15.496227
10,30.25,14.25,55.5,14.349956
11,27.25,13.0,59.750004,13.588579
12,24.5,11.75,63.75,12.520013
13,22.0,10.75,67.25,11.128573
14,19.75,9.75,70.5,10.09987
15,17.75,8.75,73.5,9.5543785
16,16.0,8.0,76.0,8.430939
17,14.25,7.0,78.75,7.2917314
18,13.0,6.5,80.5,7.0233216
19,11.5,5.75,82.75,5.5507326
20,10.5,5.25,84.25,6.3009706
21,9.25,4.75,86.0,7.496916
22,8.5,4.25,87.25,5.791051
23,7.5000005,3.7500002,88.75,4.267456
24,6.7500005,3.25,90.0,4.0640745
25,6.0,3.0,91.0,4.876753
26,5.5,2.75,91.75,3.4841182
27,5.0,2.5,92.5,3.0527954
28,4.5,2.25,93.25,2.9774408
29,4.0,2.0,94.0,4.360134
