day,S population rate,I population rate,R population rate,estimated flu population rate
2.5205698
42955
0,85.0,14.0,1.0,13.87361
1,74.25,20.5,5.25,17.35649
2,64.75,23.75,11.5,23.067875
3,56.5,25.0,18.5,24.801989
4,49.25,24.5,26.249998,25.26593
5,43.0,23.5,33.5,23.894491
6,37.5,21.75,40.75,21.842182
7,32.75,20.0,47.25,20.847645
8,28.5,18.25,53.250004,18.738419
9,25.0,16.25,58.749996,17.127277
10,21.75,14.5,63.75,15.160358
11,19.0,13.0,68.0,13.864734
12,16.5,11.5,72.0,12.063683
13,14.5,10.0,75.5,11.002984
14,12.5,9.0,78.5,9.898544
15,11.0,7.75,81.25,9.382985
16,9.5,6.7500005,83.75,7.341571
17,8.25,6.0,85.75,7.3552966
18,7.25,5.25,87.5,5.391528
19,6.25,4.5,89.25,5.594551
20,5.5,4.0,90.5,4.1831436
21,4.75,3.5,91.75,5.4396772
22,4.25,3.0,92.75,4.4856987
23,3.5,2.5,94.0,4.1268973
24,3.25,2.25,94.5,3.1338835
25,2.75,2.0,95.25,5.3505387
26,2.25,1.75,96.0,5.263748
27,2.0,1.5,96.5,4.9247303
28,1.75,1.25,97.0,3.5566313
29,1.5,1.0,97.5,2.8160377
