day,S population rate,I population rate,R population rate,estimated flu population rate
1.3387878
41322
0,86.0,13.0,1.0,13.072837
1,76.25,19.0,4.75,16.911358
2,67.25,22.0,10.75,20.714266
3,59.500004,23.25,17.25,22.939518
4,52.749996,23.0,24.25,22.866262
5,46.5,22.25,31.25,22.273464
6,41.25,21.0,37.75,20.975815
7,36.5,19.5,44.0,19.771694
8,32.25,17.75,50.0,18.142315
9,28.5,16.25,55.25,16.692701
10,25.25,14.5,60.250004,15.081588
11,22.25,13.0,64.75,13.768603
12,19.75,11.75,68.5,12.542203
13,17.25,10.5,72.25,10.614639
14,15.25,9.25,75.5,10.134629
15,13.500001,8.25,78.25,9.020858
16,12.0,7.25,80.75,8.0636
17,10.5,6.5,83.0,6.8314695
18,9.25,5.75,85.0,5.3006663
19,8.25,5.0,86.75,6.2730393
20,7.25,4.5,88.25,4.866285
21,6.5,4.0,89.5,4.9253373
22,5.75,3.5,90.75,3.606904
23,5.0,3.0,92.0,4.4520583
24,4.5,2.75,92.75,3.5645502
25,4.0,2.5,93.5,4.138249
26,3.5,2.0,94.5,2.8051736
27,3.0,1.75,95.25,4.8980327
28,2.75,1.5,95.75,2.942297
29,2.25,1.5,96.25,4.4944105
