day,S population rate,I population rate,R population rate,estimated flu population rate
1.4417213
40921
0,89.25,9.75,1.0,10.214134
1,81.5,14.5,4.0,12.922401
2,74.75,17.0,8.25,15.960809
3,68.5,18.25,13.249999,17.659945
4,62.5,18.5,19.0,18.26881
5,57.25,18.25,24.5,18.266464
6,52.499996,17.5,30.000002,17.312294
7,48.0,16.75,35.25,17.079702
8,44.0,15.75,40.25,15.7538395
9,40.25,14.749999,45.0,14.721839
10,36.75,13.75,49.5,14.031574
11,33.75,12.75,53.500004,13.321208
12,30.75,11.75,57.5,12.323844
13,28.25,10.75,61.0,11.470787
14,25.75,10.0,64.25,10.488957
15,23.75,9.0,67.25,10.253585
16,21.75,8.25,70.0,7.9090185
17,19.75,7.75,72.5,8.80502
18,18.25,7.0,74.75,9.016187
19,16.5,6.5,77.0,6.3938417
20,15.25,5.75,79.0,5.965993
21,14.0,5.25,80.75,6.8267565
22,12.75,5.0,82.25,6.5943656
23,11.75,4.5,83.75,5.7411065
24,10.75,4.0,85.25,3.8426867
25,9.75,3.7500002,86.5,7.07588
26,9.0,3.5,87.5,5.7724857
27,8.25,3.0,88.75,3.5879064
28,7.5000005,2.75,89.75,5.177194
29,6.7500005,2.5,90.75,3.7032485
