day,S population rate,I population rate,R population rate,estimated flu population rate
2.4200602
41364
0,86.5,12.5,1.0,12.786584
1,76.75,18.5,4.75,15.798768
2,68.25,21.5,10.25,20.22623
3,60.5,22.5,17.0,21.84745
4,53.750004,22.5,23.75,22.63697
5,47.75,21.75,30.5,22.166418
6,42.5,20.5,37.0,20.47779
7,37.75,19.0,43.25,19.152699
8,33.5,17.5,49.0,18.141157
9,29.750002,16.0,54.25,16.29656
10,26.499998,14.5,58.999996,14.631285
11,23.5,13.0,63.5,13.916415
12,20.75,11.75,67.5,12.108857
13,18.5,10.5,71.0,10.755085
14,16.5,9.5,74.0,10.450477
15,14.5,8.5,77.0,9.402366
16,13.0,7.5000005,79.5,8.697067
17,11.5,6.7500005,81.75,6.6183996
18,10.25,6.0,83.75,5.196896
19,9.0,5.25,85.75,5.9100056
20,8.0,4.75,87.25,5.988238
21,7.0,4.25,88.75,5.6298537
22,6.25,3.7500002,90.0,4.839729
23,5.5,3.25,91.25,7.806653
24,5.0,2.75,92.25,3.7999423
25,4.5,2.5,93.0,3.9889522
26,3.7500002,2.25,94.0,4.489774
27,3.5,2.0,94.5,3.6408284
28,3.0,1.75,95.25,5.7123656
29,2.75,1.5,95.75,3.7458494
