day,S population rate,I population rate,R population rate,estimated flu population rate
3.2791474
41331
0,83.25,15.75,1.0,15.65324
1,71.25,23.0,5.75,19.212427
2,61.0,26.499998,12.5,25.54642
3,52.0,27.25,20.75,27.003925
4,44.5,26.499998,29.0,27.036716
5,38.0,25.0,37.0,25.57173
6,32.5,23.0,44.5,23.719933
7,27.75,20.75,51.5,21.520466
8,23.75,18.5,57.75,18.842896
9,20.25,16.5,63.25,16.895042
10,17.25,14.5,68.25,15.3486185
11,14.749999,12.5,72.75,13.403181
12,12.75,11.0,76.25,11.7146635
13,10.75,9.5,79.75,10.419973
14,9.25,8.25,82.5,9.818626
15,8.0,7.0,85.0,8.321471
16,6.7500005,6.0,87.25,6.5386825
17,5.75,5.25,89.0,6.400685
18,5.0,4.5,90.5,5.436168
19,4.25,3.7500002,92.0,7.561137
20,3.5,3.25,93.25,3.716551
21,3.0,2.75,94.25,5.0890117
22,2.5,2.25,95.25,4.4382076
23,2.25,2.0,95.75,4.504597
24,1.75,1.75,96.5,3.5765622
25,1.5,1.5,97.0,2.713072
26,1.25,1.25,97.5,3.5231102
27,1.0,1.0,98.0,5.2338133
28,1.0,0.75,98.25,3.4885454
29,0.75,0.75,98.5,2.9372525
