day,S population rate,I population rate,R population rate,estimated flu population rate
2.4477077
40577
0,85.5,13.500001,1.0,13.238085
1,75.25,19.75,5.0,16.943518
2,66.0,23.0,11.0,22.027763
3,58.0,24.0,18.0,23.435724
4,51.0,23.75,25.25,23.66624
5,44.75,22.75,32.5,22.932152
6,39.5,21.5,39.0,21.501629
7,34.75,19.75,45.5,20.621984
8,30.5,18.0,51.5,19.07697
9,26.750002,16.25,57.0,16.642786
10,23.5,14.5,62.0,15.168305
11,20.75,13.0,66.25,13.645959
12,18.0,11.5,70.5,12.316441
13,16.0,10.25,73.75,10.703568
14,14.0,9.0,77.0,10.349364
15,12.25,8.0,79.75,8.295102
16,10.75,7.0,82.25,7.9596744
17,9.5,6.25,84.25,6.2622175
18,8.25,5.5,86.25,6.9570947
19,7.25,4.75,88.0,3.846111
20,6.5,4.25,89.25,5.520091
21,5.5,3.7500002,90.75,5.4892173
22,5.0,3.25,91.75,6.5813594
23,4.25,2.75,93.0,4.4724565
24,3.7500002,2.5,93.75,3.872581
25,3.25,2.25,94.5,3.282275
26,3.0,2.0,95.0,5.6140738
27,2.5,1.75,95.75,3.929565
28,2.25,1.5,96.25,4.416473
29,2.0,1.25,96.75,3.8253388
