day,S population rate,I population rate,R population rate,estimated flu population rate
1.5474637
41661
0,86.5,12.5,1.0,12.600073
1,77.0,18.25,4.75,15.369606
2,68.5,21.25,10.25,20.15365
3,60.75,22.5,16.75,22.449713
4,54.000004,22.5,23.5,22.625881
5,48.0,21.75,30.25,21.94403
6,42.75,20.5,36.75,20.193426
7,38.0,19.0,43.0,19.75188
8,33.75,17.5,48.75,18.280996
9,30.000002,16.0,54.000004,16.037655
10,26.750002,14.5,58.749996,14.825864
11,23.75,13.0,63.25,13.149166
12,21.0,11.75,67.25,12.314385
13,18.75,10.5,70.75,11.083854
14,16.75,9.5,73.75,10.422398
15,14.749999,8.5,76.75,9.361388
16,13.249999,7.5000005,79.25,8.893589
17,11.75,6.7500005,81.5,7.41031
18,10.25,6.0,83.75,7.288757
19,9.25,5.25,85.5,6.2219853
20,8.25,4.75,87.0,6.3218193
21,7.25,4.25,88.5,7.1979094
22,6.5,3.7500002,89.75,5.0315742
23,5.75,3.25,91.0,4.408801
24,5.0,3.0,92.0,3.5471919
25,4.5,2.5,93.0,3.4536283
26,4.0,2.25,93.75,3.273307
27,3.5,2.0,94.5,2.9157193
28,3.0,1.75,95.25,4.3442674
29,2.75,1.5,95.75,3.562361
